Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,165.2,-6.83,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,165.2,-6.83,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,165.2,-6.83,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,165.2,-6.83,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,165.2,-6.83,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,165.2,-6.83,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,165.2,-6.83,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,165.2,-6.83,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,165.2,-6.83,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,165.2,-6.83,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,165.2,-6.83,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,165.2,-6.83,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,165.2,-6.83,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,165.2,-6.83,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,165.2,-6.83,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,165.2,-6.83,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,165.2,-6.83,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,165.2,-6.83,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,165.2,-6.83,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,165.2,-6.83,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,165.2,-6.83,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,165.2,-6.83,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,165.2,-6.83,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.24,165.2,-6.83,0.35,-0.0,0.0,9.8,-0.0,-0.0,0.0
0.25,165.2,-6.83,0.35,0.0,-0.0,9.8,-0.0,-0.0,0.0
0.26,165.2,-6.83,0.35,0.0,-0.0,9.8,0.0,0.0,-0.0
0.27,165.2,-6.83,0.35,-0.0,0.0,9.8,0.0,-0.0,0.0
0.28,165.2,-6.83,0.35,0.0,0.0,9.8,-0.0,0.0,0.0
0.29,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.3,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.31,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.32,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.33,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.34,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.35,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.36,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.37,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.38,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
0.39,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,-0.0,-0.0
0.4,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,0.0
0.41,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.42,165.2,-6.83,0.35,-0.0,-0.0,9.81,-0.0,-0.0,-0.0
0.43,165.2,-6.83,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
0.44,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,0.0
0.45,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.46,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,0.0
0.47,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
0.48,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.49,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,0.0,-0.0
0.5,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.51,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.52,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.53,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.54,165.2,-6.83,0.35,-0.0,-0.0,9.81,-0.0,-0.0,0.0
0.55,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.56,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,-0.0,-0.0
0.57,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.58,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.59,165.2,-6.83,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.6,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,0.0,-0.0
0.61,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.62,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,-0.0,-0.0
0.63,165.2,-6.83,0.35,0.0,0.0,9.81,0.0,0.0,0.0
0.64,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,0.0
0.65,165.2,-6.83,0.35,-0.0,-0.0,9.81,-0.0,0.0,0.0
0.66,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.67,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,-0.0,0.0
0.68,165.2,-6.83,0.35,-0.0,-0.0,9.81,-0.0,-0.0,0.0
0.69,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.7,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.71,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.72,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,0.0
0.73,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.74,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.75,165.2,-6.83,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.76,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,-0.0,-0.0
0.77,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.78,165.2,-6.83,0.35,0.0,0.0,9.81,0.0,0.0,0.0
0.79,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.8,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.81,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.82,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.83,165.2,-6.83,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
0.84,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.85,165.2,-6.83,0.35,-0.0,-0.0,9.81,-0.0,-0.0,-0.0
0.86,165.2,-6.83,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.87,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.88,165.2,-6.83,0.35,-0.0,-0.0,9.81,-0.0,-0.0,0.0
0.89,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.9,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.91,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,0.0,-0.0
0.92,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.93,165.2,-6.83,0.35,0.0,0.0,9.81,0.0,-0.0,0.0
0.94,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,-0.0,-0.0
0.95,165.2,-6.83,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.96,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.97,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.98,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.99,165.2,-6.83,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
1.0,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
1.01,165.2,-6.83,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
1.02,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
1.03,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
1.04,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
1.05,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.06,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.07,165.2,-6.83,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
1.08,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.09,165.2,-6.83,0.35,0.0,0.0,9.81,0.0,0.0,-0.0
1.1,165.2,-6.83,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.11,165.2,-6.83,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
1.12,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.13,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.14,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.15,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.16,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.17,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.18,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.19,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.2,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.21,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.22,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.23,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.24,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.25,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.26,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.27,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.28,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.29,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.3,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.31,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.32,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.33,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.34,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.35,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.36,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.37,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.38,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.39,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.4,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.41,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.42,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.43,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.44,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.45,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.46,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.47,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.48,165.2,-6.83,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
