Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,150.0,-7.4,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,150.0,-7.4,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,150.0,-7.4,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,150.0,-7.4,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,150.0,-7.4,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,150.0,-7.4,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,150.0,-7.4,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,150.0,-7.4,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,150.0,-7.4,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,150.0,-7.4,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,150.0,-7.4,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,150.0,-7.4,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,150.0,-7.4,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,150.0,-7.4,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,150.0,-7.4,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,150.0,-7.4,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,150.0,-7.4,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,150.0,-7.4,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,150.0,-7.4,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,150.0,-7.4,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,150.0,-7.4,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,150.0,-7.4,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,150.0,-7.4,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.24,150.0,-7.4,0.35,-0.0,0.0,9.8,-0.0,-0.0,0.0
0.25,150.0,-7.4,0.35,0.0,-0.0,9.8,-0.0,-0.0,0.0
0.26,150.0,-7.4,0.35,0.0,-0.0,9.8,0.0,0.0,-0.0
0.27,150.0,-7.4,0.35,-0.0,0.0,9.8,0.0,-0.0,0.0
0.28,150.0,-7.4,0.35,0.0,0.0,9.8,-0.0,0.0,0.0
0.29,150.0,-7.4,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.3,150.0,-7.4,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.31,150.0,-7.4,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.32,150.0,-7.4,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.33,150.0,-7.4,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.34,150.0,-7.4,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.35,150.0,-7.4,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.36,150.0,-7.4,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.37,150.0,-7.4,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.38,150.0,-7.4,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
